Year: 2018  Month: 08  ID: MNB  ARGOS: 99501  Name: Minna Bluff         
Lat: 78.56S  Lon: 166.70E  Elev:  895m
2018 229  8 17 0600  444.0  887.9    0.0  116.6  444.0  444.0
2018 229  8 17 0900  444.0  888.3    0.0    0.0  444.0  444.0
2018 229  8 17 1200  444.0  888.3    1.5  139.4  444.0  444.0
2018 229  8 17 1500  444.0  887.9    2.4  132.9  444.0  444.0
2018 229  8 17 1800  444.0  889.1    1.6  153.5  444.0  444.0
2018 229  8 17 2100  444.0  889.9    2.2  134.4  444.0  444.0
2018 230  8 18 0000  444.0  891.1    4.1  145.5  444.0  444.0
2018 230  8 18 0300  444.0  890.7    4.8  183.0  444.0  444.0
2018 230  8 18 0600  444.0  890.7    6.3  175.0  444.0  444.0
2018 230  8 18 0900  444.0  890.7   10.5  188.0  444.0  444.0
2018 230  8 18 1200  444.0  890.3    7.5  197.0  444.0  444.0
2018 230  8 18 1500  444.0  889.0    5.4  201.1  444.0  444.0
2018 230  8 18 1800  444.0  887.7    5.6  181.0  444.0  444.0
2018 230  8 18 2100  444.0  887.6    5.3  175.4  444.0  444.0
2018 231  8 19 0000  444.0  886.3    3.2  161.7  444.0  444.0
2018 231  8 19 0300  444.0  884.6    1.5  153.5  444.0  444.0
2018 231  8 19 0600  444.0  882.6    0.9  330.0  444.0  444.0
2018 231  8 19 0900  444.0  879.3    8.2  328.1  444.0  444.0
2018 231  8 19 1200  444.0  878.7    5.6  295.1  444.0  444.0
2018 231  8 19 1500  444.0  877.9    4.2   18.4  444.0  444.0
2018 231  8 19 1800  444.0  877.1    0.3   66.7  444.0  444.0
2018 231  8 19 2100  444.0  876.0    4.6  354.4  444.0  444.0
2018 232  8 20 0000  444.0  875.2    7.3  316.9  444.0  444.0
2018 232  8 20 0300  444.0  872.9    4.5    3.2  444.0  444.0
2018 232  8 20 0600  444.0  871.9    7.7   13.7  444.0  444.0
2018 232  8 20 0900  444.0  870.4    8.8    5.3  444.0  444.0
2018 232  8 20 1200  444.0  872.1    4.5  352.9  444.0  444.0
2018 232  8 20 1500  444.0  872.2    6.5  317.3  444.0  444.0
2018 232  8 20 1800  444.0  872.3    0.5  185.2  444.0  444.0
2018 232  8 20 2100  444.0  873.1    7.6  194.4  444.0  444.0
2018 233  8 21 0000  444.0  873.4    7.5  187.2  444.0  444.0
2018 233  8 21 0300  444.0  874.0    4.1  187.5  444.0  444.0
2018 233  8 21 0600  444.0  875.0    4.1  181.1  444.0  444.0
2018 233  8 21 0900  444.0  876.3    7.8  197.1  444.0  444.0
2018 233  8 21 1200  444.0  877.5   12.5  194.4  444.0  444.0
2018 233  8 21 1500  444.0  878.5   15.4  210.0  444.0  444.0
2018 233  8 21 1800  444.0  878.7   13.2  196.7  444.0  444.0
2018 233  8 21 2100  444.0  879.1   10.2  191.8  444.0  444.0
2018 234  8 22 0000  444.0  880.3    8.5  190.3  444.0  444.0
2018 234  8 22 0300  444.0  879.9   10.2  189.0  444.0  444.0
2018 234  8 22 0600  444.0  880.5    9.2  187.4  444.0  444.0
2018 234  8 22 0900  444.0  881.8    9.4  187.7  444.0  444.0
2018 234  8 22 1200  444.0  882.2    9.8  191.9  444.0  444.0
2018 234  8 22 1500  444.0  882.5    5.7  183.7  444.0  444.0
2018 234  8 22 1800  444.0  882.5    7.8  192.6  444.0  444.0
2018 234  8 22 2100  444.0  883.9    7.7  190.3  444.0  444.0
2018 235  8 23 0000  444.0  884.0    6.8  188.5  444.0  444.0
2018 235  8 23 0300  444.0  883.9    4.8  174.3  444.0  444.0
2018 235  8 23 0600  444.0  883.7    6.5  183.8  444.0  444.0
2018 235  8 23 0900  444.0  883.1    5.7  184.4  444.0  444.0
2018 235  8 23 1200  444.0  883.1    4.7  180.2  444.0  444.0
2018 235  8 23 1500  444.0  882.8    5.8  189.0  444.0  444.0
2018 235  8 23 1800  444.0  882.5    4.6  192.6  444.0  444.0
2018 235  8 23 2100  444.0  882.0    4.4  193.0  444.0  444.0
2018 236  8 24 0000  444.0  881.8    0.9  176.6  444.0  444.0
2018 236  8 24 0300  444.0  882.2    0.5  318.9  444.0  444.0
2018 236  8 24 0600  444.0  881.7    1.7  324.8  444.0  444.0
2018 236  8 24 0900  444.0  880.5    2.6  345.7  444.0  444.0
2018 236  8 24 1200  444.0  880.0    3.8  353.0  444.0  444.0
2018 236  8 24 1500  444.0  880.7    2.9  357.9  444.0  444.0
2018 236  8 24 1800  444.0  879.8    1.2   48.8  444.0  444.0
2018 236  8 24 2100  444.0  880.3    0.3  135.6  444.0  444.0
2018 237  8 25 0000  444.0  881.5    0.3  113.1  444.0  444.0
2018 237  8 25 0300  444.0  881.8    0.9   62.3  444.0  444.0
2018 237  8 25 0600  444.0  882.1    0.0   91.8  444.0  444.0
2018 237  8 25 0900  444.0  883.1    0.8  121.6  444.0  444.0
2018 237  8 25 1200  444.0  884.0    0.7  137.6  444.0  444.0
2018 237  8 25 1500  444.0  884.8    1.2  144.3  444.0  444.0
2018 237  8 25 1800  444.0  885.6    4.9  174.3  444.0  444.0
2018 237  8 25 2100  444.0  885.6    6.7  180.0  444.0  444.0
2018 238  8 26 0000  444.0  886.5   10.6  187.6  444.0  444.0
2018 238  8 26 0300  444.0  885.7   10.6  184.0  444.0  444.0
2018 238  8 26 0600  444.0  885.9   13.2  189.4  444.0  444.0
2018 238  8 26 0900  444.0  884.9   14.7  189.6  444.0  444.0
2018 238  8 26 1200  444.0  883.5   13.7  188.3  444.0  444.0
2018 238  8 26 1500  444.0  882.2   18.6  195.0  444.0  444.0
2018 238  8 26 1800  444.0  881.7   15.3  190.3  444.0  444.0
2018 238  8 26 2100  444.0  880.5   17.0  191.0  444.0  444.0
2018 239  8 27 0000  444.0  879.7   17.2  191.8  444.0  444.0
2018 239  8 27 0300  444.0  879.3   16.5  202.3  444.0  444.0
2018 239  8 27 0600  444.0  877.9   16.3  194.1  444.0  444.0
2018 239  8 27 0900  444.0  876.9    9.5  188.8  444.0  444.0
2018 239  8 27 1200  444.0  875.4    9.4  185.2  444.0  444.0
2018 239  8 27 1500  444.0  873.9    6.0  181.7  444.0  444.0
2018 239  8 27 1800  444.0  871.9    1.9  167.6  444.0  444.0
2018 239  8 27 2100  444.0  870.0    0.8  144.6  444.0  444.0
2018 240  8 28 0000  444.0  867.4    0.0  164.6  444.0  444.0
2018 240  8 28 0300  444.0  865.4    0.1   62.3  444.0  444.0
2018 240  8 28 0600  444.0  863.7    0.1  116.7  444.0  444.0
2018 240  8 28 0900  444.0  862.6    3.7  175.0  444.0  444.0
2018 240  8 28 1200  444.0  861.6    2.8  167.6  444.0  444.0
2018 240  8 28 1500  444.0  861.4    2.8  184.7  444.0  444.0
2018 240  8 28 1800  444.0  861.8    6.0  191.7  444.0  444.0
2018 240  8 28 2100  444.0  862.5    7.9  191.7  444.0  444.0
2018 241  8 29 0000  444.0  862.8    9.5  197.0  444.0  444.0
2018 241  8 29 0300  444.0  863.1    9.5  195.8  444.0  444.0
2018 241  8 29 0600  444.0  864.4   11.2  195.1  444.0  444.0
2018 241  8 29 0900  444.0  865.4   10.2  195.2  444.0  444.0
2018 241  8 29 1200  444.0  866.6    9.1  192.1  444.0  444.0
2018 241  8 29 1500  444.0  867.6    6.3  187.6  444.0  444.0
2018 241  8 29 1800  444.0  868.0    9.9  192.3  444.0  444.0
2018 241  8 29 2100  444.0  868.9    9.2  191.8  444.0  444.0
2018 242  8 30 0000  444.0  869.6   12.9  197.3  444.0  444.0
2018 242  8 30 0300  444.0  870.5   13.3  192.6  444.0  444.0
2018 242  8 30 0600  444.0  871.0   12.7  192.3  444.0  444.0
2018 242  8 30 0900  444.0  871.5   16.5  194.9  444.0  444.0
2018 242  8 30 1200  444.0  871.5   14.0  194.3  444.0  444.0
2018 242  8 30 1500  444.0  872.2   16.2  193.7  444.0  444.0
2018 242  8 30 1800  444.0  871.2   14.8  194.0  444.0  444.0
2018 242  8 30 2100  444.0  871.3   11.3  188.5  444.0  444.0
2018 243  8 31 0000  444.0  871.4    4.9  183.9  444.0  444.0
2018 243  8 31 0300  444.0  871.7    6.8  201.1  444.0  444.0
2018 243  8 31 0600  444.0  870.4    4.0  187.3  444.0  444.0
2018 243  8 31 0900  444.0  869.7    0.8  169.6  444.0  444.0
2018 243  8 31 1200  444.0  868.9    7.2  315.5  444.0  444.0
2018 243  8 31 1500  444.0  867.5    7.6  313.1  444.0  444.0
2018 243  8 31 1800  444.0  865.6    9.9  332.2  444.0  444.0
2018 243  8 31 2100  444.0  864.0    5.8  345.5  444.0  444.0
