Year: 2018  Month: 11  ID: THI  ARGOS:  8930  Name: Thurston Island     
Lat: 72.94S  Lon:  97.55W  Elev:  145m
2018 319 11 15 1500   -6.3  952.4  444.0  444.0   91.5  444.0
2018 319 11 15 1800   -6.4  952.3  444.0  444.0   83.0  444.0
2018 319 11 15 2100   -6.1  952.8  444.0  444.0   80.0  444.0
2018 320 11 16 0000   -6.6  952.8  444.0  444.0   81.0  444.0
2018 320 11 16 0300   -7.1  952.4  444.0  444.0   80.0  444.0
2018 320 11 16 0600   -7.2  952.8  444.0  444.0   74.0  444.0
2018 320 11 16 0900   -8.3  953.1  444.0  444.0   73.9  444.0
2018 320 11 16 1200   -7.2  953.5  444.0  444.0   57.0  444.0
2018 320 11 16 1500   -8.0  953.6  444.0  444.0   59.3  444.0
2018 320 11 16 1800   -7.5  953.8  444.0  444.0   67.0  444.0
2018 320 11 16 2100   -8.9  953.9  444.0  444.0   75.0  444.0
2018 321 11 17 0000   -9.2  954.0  444.0  444.0   83.0  444.0
2018 321 11 17 0300   -9.3  953.5  444.0  444.0   80.4  444.0
2018 321 11 17 0600  -11.1  953.3  444.0  444.0   80.1  444.0
2018 321 11 17 0900  -11.0  953.4  444.0  444.0   88.0  444.0
2018 321 11 17 1200  -12.8  952.7  444.0  444.0   86.9  444.0
2018 321 11 17 1500  -11.5  952.5  444.0  444.0   79.0  444.0
2018 321 11 17 1800  -10.2  952.1  444.0  444.0   85.3  444.0
2018 321 11 17 2100   -9.2  951.3  444.0  444.0   85.0  444.0
2018 322 11 18 0000   -9.6  950.8  444.0  444.0   92.4  444.0
2018 322 11 18 0300  -10.2  949.9  444.0  444.0   90.0  444.0
2018 322 11 18 0600  -11.1  949.1  444.0  444.0   86.0  444.0
2018 322 11 18 0900  -12.4  947.9  444.0  444.0   66.0  444.0
2018 322 11 18 1200  -11.2  946.2  444.0  444.0   57.0  444.0
2018 322 11 18 1500  -11.7  944.2  444.0  444.0   55.0  444.0
2018 322 11 18 1800   -9.8  942.4  444.0  444.0   55.0  444.0
2018 322 11 18 2100  -10.4  940.5  444.0  444.0   71.4  444.0
2018 323 11 19 0000  -10.9  938.9  444.0  444.0   74.0  444.0
2018 323 11 19 0300  -12.0  937.6  444.0  444.0   78.0  444.0
2018 323 11 19 0600  -12.1  936.5  444.0  444.0   77.0  444.0
2018 323 11 19 0900  -11.7  936.4  444.0  444.0   74.0  444.0
2018 323 11 19 1200  -11.2  935.7  444.0  444.0   66.0  444.0
2018 323 11 19 1500  -14.9  935.3  444.0  444.0   71.0  444.0
2018 323 11 19 1800  -12.5  934.9  444.0  444.0   81.0  444.0
2018 323 11 19 2100  -11.6  934.9  444.0  444.0   81.0  444.0
2018 324 11 20 0000  -12.1  935.0  444.0  444.0   87.0  444.0
2018 324 11 20 0300  -13.2  934.8  444.0  444.0   86.0  444.0
2018 324 11 20 0600  -14.8  935.0  444.0  444.0   84.0  444.0
2018 324 11 20 0900  -16.1  935.6  444.0  444.0   86.0  444.0
2018 324 11 20 1200  -15.3  936.2  444.0  444.0   87.0  444.0
2018 324 11 20 1500  -13.7  936.6  444.0  444.0   72.4  444.0
2018 324 11 20 1800  -10.9  937.4  444.0  444.0   63.0  444.0
2018 324 11 20 2100  -10.7  938.5  444.0  444.0   73.0  444.0
2018 325 11 21 0000  -12.3  939.1  444.0  444.0   84.0  444.0
2018 325 11 21 0300  -12.1  939.5  444.0  444.0   81.6  444.0
2018 325 11 21 0600  -13.9  939.9  444.0  444.0   83.0  444.0
2018 325 11 21 0900  -10.6  940.4  444.0  444.0   72.4  444.0
2018 325 11 21 1200  -10.9  940.5  444.0  444.0   71.0  444.0
2018 325 11 21 1500   -9.9  940.5  444.0  444.0   60.0  444.0
2018 325 11 21 1800   -9.6  940.8  444.0  444.0   67.8  444.0
2018 325 11 21 2100   -8.5  940.4  444.0  444.0   70.0  444.0
2018 326 11 22 0000   -9.8  940.5  444.0  444.0   88.0  444.0
2018 326 11 22 0300   -9.9  940.4  444.0  444.0   81.0  444.0
2018 326 11 22 0600   -9.5  940.1  444.0  444.0   79.6  444.0
2018 326 11 22 0900  -10.6  939.4  444.0  444.0   93.0  444.0
2018 326 11 22 1200  -10.1  938.6  444.0  444.0   91.4  444.0
2018 326 11 22 1500   -9.5  938.4  444.0  444.0   88.0  444.0
2018 326 11 22 1800   -8.4  938.2  444.0  444.0   80.0  444.0
2018 326 11 22 2100   -8.1  936.6  444.0  444.0   78.0  444.0
2018 327 11 23 0000   -7.4  934.0  444.0  444.0   95.0  444.0
2018 327 11 23 0300   -7.6  933.4  444.0  444.0   97.0  444.0
2018 327 11 23 0600   -7.9  932.1  444.0  444.0   98.0  444.0
2018 327 11 23 0900   -8.0  931.4  444.0  444.0   97.0  444.0
2018 327 11 23 1200   -7.2  928.1  444.0  444.0   96.0  444.0
2018 327 11 23 1500   -7.6  927.7  444.0  444.0   94.8  444.0
2018 327 11 23 1800   -6.8  928.1  444.0  444.0   94.0  444.0
2018 327 11 23 2100   -6.1  928.5  444.0  444.0   96.0  444.0
2018 328 11 24 0000   -5.8  928.5  444.0  444.0   98.1  444.0
2018 328 11 24 0300   -5.2  929.3  444.0  444.0  100.0  444.0
2018 328 11 24 0600   -5.9  930.8  444.0  444.0  100.0  444.0
2018 328 11 24 0900   -5.4  932.2  444.0  444.0  100.0  444.0
2018 328 11 24 1200   -5.6  933.2  444.0  444.0  100.0  444.0
2018 328 11 24 1500   -5.5  933.9  444.0  444.0   99.0  444.0
2018 328 11 24 1800   -4.2  935.9  444.0  444.0   98.9  444.0
2018 328 11 24 2100   -4.5  937.0  444.0  444.0  100.0  444.0
2018 329 11 25 0000   -3.4  938.0  444.0  444.0  100.0  444.0
2018 329 11 25 0300   -3.7  939.2  444.0  444.0  100.0  444.0
2018 329 11 25 0600   -4.6  940.1  444.0  444.0  100.0  444.0
2018 329 11 25 0900   -4.1  941.0  444.0  444.0  100.0  444.0
2018 329 11 25 1200   -5.5  942.4  444.0  444.0  100.0  444.0
2018 329 11 25 1500   -5.8  943.1  444.0  444.0  100.0  444.0
2018 329 11 25 1800   -5.5  943.0  444.0  444.0   99.0  444.0
2018 329 11 25 2100   -5.1  943.5  444.0  444.0  100.0  444.0
2018 330 11 26 0000   -4.4  943.7  444.0  444.0  100.0  444.0
2018 330 11 26 0300   -4.7  943.8  444.0  444.0  100.0  444.0
2018 330 11 26 0600   -6.2  944.9  444.0  444.0  100.0  444.0
2018 330 11 26 0900   -6.3  945.8  444.0  444.0  100.0  444.0
2018 330 11 26 1200   -6.9  946.2  444.0  444.0   99.0  444.0
2018 330 11 26 1500   -7.4  946.7  444.0  444.0   98.0  444.0
2018 330 11 26 1800   -7.3  947.7  444.0  444.0   98.0  444.0
2018 330 11 26 2100  444.0  948.4  444.0  444.0  100.0  444.0
2018 331 11 27 0000   -4.5  949.1  444.0  444.0   99.8  444.0
2018 331 11 27 0300   -4.9  949.6  444.0  444.0  100.0  444.0
2018 331 11 27 0600   -6.5  950.3  444.0  444.0  100.0  444.0
2018 331 11 27 0900   -6.3  951.1  444.0  444.0  100.0  444.0
2018 331 11 27 1200   -5.8  951.6  444.0  444.0  100.0  444.0
2018 331 11 27 1500   -5.8  952.2  444.0  444.0  100.0  444.0
2018 331 11 27 1800   -5.1  953.1  444.0  444.0   99.8  444.0
2018 331 11 27 2100   -5.6  954.2  444.0  444.0  100.0  444.0
2018 332 11 28 0000   -6.3  954.8  444.0  444.0   97.0  444.0
2018 332 11 28 0300   -6.5  955.2  444.0  444.0  100.0  444.0
2018 332 11 28 0600   -6.6  955.8  444.0  444.0  100.0  444.0
2018 332 11 28 0900   -6.6  955.8  444.0  444.0  100.0  444.0
2018 332 11 28 1200   -6.3  955.5  444.0  444.0  100.0  444.0
2018 332 11 28 1500   -6.8  955.0  444.0  444.0   97.0  444.0
2018 332 11 28 1800   -5.7  954.3  444.0  444.0   96.0  444.0
2018 332 11 28 2100   -4.9  952.9  444.0  444.0   99.3  444.0
2018 333 11 29 0000   -7.1  951.0  444.0  444.0   98.0  444.0
2018 333 11 29 0300   -8.6  948.8  444.0  444.0   94.0  444.0
2018 333 11 29 0600  -10.2  946.5  444.0  444.0   95.0  444.0
2018 333 11 29 0900   -9.0  944.2  444.0  444.0   96.5  444.0
2018 333 11 29 1200  -11.0  942.1  444.0  444.0   90.1  444.0
2018 333 11 29 1500   -9.5  939.7  444.0  444.0   89.0  444.0
2018 333 11 29 1800   -9.0  937.6  444.0  444.0   88.0  444.0
2018 333 11 29 2100   -7.7  936.0  444.0  444.0   84.0  444.0
2018 334 11 30 0000   -7.3  934.1  444.0  444.0   76.1  444.0
2018 334 11 30 0300   -7.9  932.0  444.0  444.0   79.0  444.0
2018 334 11 30 0600   -8.8  931.4  444.0  444.0   78.0  444.0
2018 334 11 30 0900   -9.1  930.4  444.0  444.0   79.0  444.0
2018 334 11 30 1200   -8.4  932.1  444.0  444.0   70.9  444.0
2018 334 11 30 1500   -8.1  932.1  444.0  444.0   71.0  444.0
2018 334 11 30 1800   -6.9  933.3  444.0  444.0   78.0  444.0
2018 334 11 30 2100   -6.2  934.0  444.0  444.0   76.8  444.0
