Year: 2018  Month: 10  ID: EKN  ARGOS:  8923  Name: Evans Knoll         
Lat: 74.85S  Lon: 100.41W  Elev:  188m                  
2018 302 10 29 0900  -10.7  945.7    8.6  444.0   80.5  444.0
2018 302 10 29 1200  -11.1  944.6    9.2  444.0   86.0  444.0
2018 302 10 29 1500  -10.5  943.7   10.9  444.0   79.0  444.0
2018 302 10 29 1800   -9.7  943.0    9.2  444.0   76.9  444.0
2018 302 10 29 2100   -9.0  942.9    6.7  444.0   66.0  444.0
2018 303 10 30 0000   -9.6  942.5    9.9  444.0   75.0  444.0
2018 303 10 30 0300   -9.9  942.8    8.6  444.0   75.0  444.0
2018 303 10 30 0600  -13.8  943.1    7.5  444.0   80.0  444.0
2018 303 10 30 0900  -15.3  943.2    9.1  444.0   80.2  444.0
2018 303 10 30 1200  -13.1  944.0    7.4  444.0   81.0  444.0
2018 303 10 30 1500  -12.5  944.2    6.0  444.0   80.0  444.0
2018 303 10 30 1800  -10.5  944.0    6.8  444.0   78.0  444.0
2018 303 10 30 2100  -10.9  943.8   11.5  444.0   85.0  444.0
2018 304 10 31 0000  -12.2  943.4   11.6  444.0   85.0  444.0
2018 304 10 31 0300  -10.6  943.6    5.2  444.0   75.0  444.0
2018 304 10 31 0600  -11.2  945.2    7.8  444.0   81.0  444.0
2018 304 10 31 0900  -14.4  945.9   10.6  444.0   85.0  444.0
2018 304 10 31 1200  -15.3  946.2   12.9  444.0   87.0  444.0
2018 304 10 31 1500  -16.1  945.1   16.9  444.0   85.1  444.0
2018 304 10 31 1800  -13.6  942.8   21.2  444.0   86.0  444.0
2018 304 10 31 2100  -12.9  942.3   21.5  444.0   88.0  444.0
