Year: 2018  Month: 09  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.82W  Elev:   10m
2018 258  9 15 1200  444.0  980.3    5.5  138.0   81.0  444.0
2018 258  9 15 1500  444.0  980.6   10.7  134.0   82.0  444.0
2018 258  9 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 258  9 15 2100  444.0  444.0    8.1  125.0   80.5  444.0
2018 259  9 16 0000  444.0  980.0    6.8   14.0   78.1  444.0
2018 259  9 16 0300  444.0  981.6   10.3   28.0   84.0  444.0
2018 259  9 16 0600  444.0  984.9    9.7   46.0   75.0  444.0
2018 259  9 16 0900  444.0  985.9    7.8   39.0   69.8  444.0
2018 259  9 16 1200  444.0  986.1    4.2  210.0   79.0  444.0
2018 259  9 16 1500  444.0  983.4    8.5  219.0   80.0  444.0
2018 259  9 16 1800  444.0  982.4    8.2  220.0   81.7  444.0
2018 259  9 16 2100  444.0  983.9    4.1  267.0   83.1  444.0
2018 260  9 17 0000  444.0  986.2    6.4  316.0   81.0  444.0
2018 260  9 17 0300  444.0  988.0    5.3  347.0   77.4  444.0
2018 260  9 17 0600  444.0  990.2    5.9   30.0   85.0  444.0
2018 260  9 17 0900  444.0  994.2    4.2   13.0   83.0  444.0
2018 260  9 17 1200  444.0  993.4    4.4   26.0   82.8  444.0
2018 260  9 17 1500  444.0  994.2    1.4  344.0   77.6  444.0
2018 260  9 17 1800  444.0  993.4    2.2  218.0   71.5  444.0
2018 260  9 17 2100  444.0  992.3    1.3  263.0   74.0  444.0
2018 261  9 18 0000  444.0  993.9    3.3  231.0   78.0  444.0
2018 261  9 18 0300  444.0  993.2    4.3  221.0   78.0  444.0
2018 261  9 18 0600  444.0  991.7    3.9  237.0   83.6  444.0
2018 261  9 18 0900  444.0  991.6    2.8  272.0   84.0  444.0
2018 261  9 18 1200  444.0  995.7    2.7  259.0   78.3  444.0
2018 261  9 18 1500  444.0  995.9    3.4  274.0   75.5  444.0
2018 261  9 18 1800  444.0  994.7    2.8  256.0   76.2  444.0
2018 261  9 18 2100  444.0  997.2    2.2  252.0   79.0  444.0
2018 262  9 19 0000  444.0 1000.9    2.2  279.0   82.3  444.0
2018 262  9 19 0300  444.0 1001.1    3.4  276.0   80.0  444.0
2018 262  9 19 0600  444.0 1002.3    0.1  274.0   81.0  444.0
2018 262  9 19 0900  444.0 1005.0    1.9  190.0   81.0  444.0
2018 262  9 19 1200  444.0 1013.0    0.1  141.0   81.0  444.0
2018 262  9 19 1500  444.0 1010.5    2.6   79.0   81.0  444.0
2018 262  9 19 1800  444.0 1011.1    1.8  132.0   82.0  444.0
2018 262  9 19 2100  444.0 1010.9    2.7  155.0   81.8  444.0
2018 263  9 20 0000  444.0 1010.2    3.2  203.0   79.9  444.0
2018 263  9 20 0300  444.0 1010.3    5.3  136.0   83.0  444.0
2018 263  9 20 0600  444.0 1007.5    4.7  170.0   88.0  444.0
2018 263  9 20 0900  444.0 1008.9    3.6  205.0   87.0  444.0
2018 263  9 20 1200  444.0 1011.8    3.2  201.0   88.0  444.0
