Year: 2018  Month: 01  ID: MTS  ARGOS:  8981  Name: Mount Siple         
Lat: 73.20S  Lon: 127.06W  Elev:  230m
2018  16  1 16 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 1800   -9.6  944.9  444.0  444.0  444.0  444.0
2018  16  1 16 2100   -9.4  944.7  444.0  444.0  444.0  444.0
2018  17  1 17 0000   -9.1  944.4  444.0  444.0  444.0  444.0
2018  17  1 17 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  17  1 17 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  17  1 17 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  17  1 17 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  17  1 17 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  17  1 17 1800  -10.2  941.5  444.0  444.0  444.0  444.0
2018  17  1 17 2100   -9.1  940.6  444.0  444.0  444.0  444.0
2018  18  1 18 0000   -8.1  940.6  444.0  444.0  444.0  444.0
2018  18  1 18 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  18  1 18 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  18  1 18 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  18  1 18 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  18  1 18 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  18  1 18 1800   -7.8  935.9  444.0  444.0  444.0  444.0
2018  18  1 18 2100   -8.0  935.6  444.0  444.0  444.0  444.0
2018  19  1 19 0000   -8.2  933.2  444.0  444.0  444.0  444.0
2018  19  1 19 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  19  1 19 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  19  1 19 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  19  1 19 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  19  1 19 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  19  1 19 1800  444.0  444.0  444.0  444.0  444.0  444.0
