Year: 2018  Month: 07  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.88S  Lon: 166.96E  Elev:   12m
2018 199  7 18 1200  -28.5  985.4    2.0   36.8   79.4    8.5
2018 199  7 18 1500  -24.9  985.3    2.0  349.5   80.7    4.2
2018 199  7 18 1800  -28.6  981.4    1.0  258.7   76.4    6.5
2018 199  7 18 2100  -30.8  977.6    3.2    8.9   68.5    5.6
2018 200  7 19 0000  -30.9  975.0    0.8  339.1   72.1    5.3
2018 200  7 19 0300  -37.6  972.5    2.3   70.6   66.6    3.5
2018 200  7 19 0600  -28.1  969.3    2.7    6.5   77.6    8.3
2018 200  7 19 0900  -41.4  966.1    3.4   61.6   64.2    2.2
2018 200  7 19 1200  -39.4  968.3    4.5   19.1   66.8    0.9
2018 200  7 19 1500  -39.3  968.8    3.1   38.9   64.9    0.1
2018 200  7 19 1800  -40.9  970.4    1.8  119.1   63.7    0.8
2018 200  7 19 2100  -33.7  972.5    2.0   21.3   71.4    6.9
2018 201  7 20 0000  -32.8  974.2    0.7   81.5   72.5    3.8
2018 201  7 20 0300  -29.9  975.8    1.2   73.2   75.3    0.9
2018 201  7 20 0600  -17.8  976.3   11.2  192.0   88.1    0.3
2018 201  7 20 0900  -20.0  977.1   15.2  161.6   86.1    0.1
2018 201  7 20 1200  -20.4  978.0   16.7  160.9   84.7    0.1
2018 201  7 20 1500  -21.0  980.1    8.6   49.6   81.9    0.2
2018 201  7 20 1800  -19.3  980.1    8.1   87.2   84.7    0.2
2018 201  7 20 2100  -19.2  981.1    4.8   86.4   70.3    0.6
2018 202  7 21 0000  -20.0  979.6    5.5  132.5   59.9    2.4
2018 202  7 21 0300  -20.3  978.6    3.1  341.1   57.0    3.0
2018 202  7 21 0600  -25.9  977.6    3.9  151.9   74.4    1.0
2018 202  7 21 0900  -21.0  978.4    1.8  303.3   53.3    2.9
2018 202  7 21 1200  -17.8  977.7    9.5  164.1   83.8    0.2
2018 202  7 21 1500  -17.0  977.8    5.7   93.9   84.7    0.2
2018 202  7 21 1800  -17.9  977.5    6.9   95.7   70.6    0.2
2018 202  7 21 2100  -16.7  976.5    7.4  133.9   61.3    0.3
2018 203  7 22 0000  -15.6  976.5    5.3   29.4   78.7    0.5
2018 203  7 22 0300  -19.3  976.2    7.0   80.0   82.2    0.1
2018 203  7 22 0600  -15.8  974.5    3.9   56.5   56.1    1.5
2018 203  7 22 0900  -16.3  973.7    3.0   98.8   43.5    2.5
2018 203  7 22 1200  -19.3  973.2    2.0   73.2   52.6    4.9
2018 203  7 22 1500  -26.9  972.4    2.7   61.6   66.1    1.1
2018 203  7 22 1800  -27.0  972.2    6.4   23.0   68.5    0.7
2018 203  7 22 2100  -23.2  976.2    2.1   37.1   62.1    1.2
2018 204  7 23 0000  -19.5  980.4    7.5  142.8   61.2    0.6
2018 204  7 23 0300  -16.1  982.9    3.5   87.9   49.7    0.2
2018 204  7 23 0600  -17.5  987.6    7.6  103.1   65.4    0.2
2018 204  7 23 0900  -17.1  990.2    4.5   69.9   54.6    0.2
2018 204  7 23 1200  -17.2  991.2    6.5   48.1   63.0    0.3
2018 204  7 23 1500  -17.8  991.4    0.2  117.1   55.3    1.4
2018 204  7 23 1800  -21.1  991.2    2.7  123.0   63.8    1.8
2018 204  7 23 2100  -26.0  992.2    6.0    8.6   64.7    0.5
2018 205  7 24 0000  -25.8  991.1    3.3   33.2   52.9    3.2
2018 205  7 24 0300  -27.6  989.5    0.6  227.4   57.5    2.6
2018 205  7 24 0600  -26.6  987.1    4.7  164.3   69.1    1.6
2018 205  7 24 0900  -27.0  984.4    3.2   17.9   84.3    2.5
2018 205  7 24 1200  -36.1  984.0    5.6   76.6   73.7    0.4
2018 205  7 24 1500  -31.7  985.5    3.6   20.2   74.4    1.2
2018 205  7 24 1800  -24.2  989.7   11.6  159.4   80.2    0.3
2018 205  7 24 2100  -24.5  994.6   10.9  166.7   79.9    0.1
2018 206  7 25 0000  -21.9  996.0    3.1   84.2   52.3    0.2
2018 206  7 25 0300  -18.2  992.7    2.8  324.5   44.0    0.8
2018 206  7 25 0600  -16.3  991.7    0.5  239.5   33.2    2.6
2018 206  7 25 0900  -25.6  990.9    5.7   74.7   70.8    1.1
2018 206  7 25 1200  -22.8  987.8    3.5   28.4   57.1    3.3
2018 206  7 25 1500  -27.3  984.5    6.7   24.4   64.7    3.1
2018 206  7 25 1800  -31.2  984.8    0.5  327.5   66.0    1.0
2018 206  7 25 2100  -33.7  985.9    0.5  354.5   73.6    2.6
2018 207  7 26 0000  -30.2  985.4    5.8   25.1   75.0    3.0
2018 207  7 26 0300  -29.4  986.4    6.3   89.9   59.5    1.5
2018 207  7 26 0600  -18.5  989.8   17.3  182.5   73.3    0.5
2018 207  7 26 0900  -19.7  990.9    0.9  236.5   57.5    0.6
2018 207  7 26 1200  -17.6  990.7    2.0  337.2   38.0    2.3
2018 207  7 26 1500  -18.5  995.3   11.9  154.8   77.7    0.2
2018 207  7 26 1800  -18.1  996.5    6.5   88.7   56.0    0.8
2018 207  7 26 2100  -20.9  995.2    7.3   53.1   66.8    0.4
2018 208  7 27 0000  -22.4  994.8    7.2   82.9   60.7    0.5
2018 208  7 27 0300  -21.2  995.1    4.8   26.6   55.7    1.5
