Year: 2018  Month: 06  ID: BRP  ARGOS:  8922  Name: Bear Peninsula      
Lat: 74.55S  Lon: 111.89W  Elev:  312m
2018 172  6 21 0300  -18.3  945.6  444.0  444.0   45.0  444.0
2018 172  6 21 0600  -17.0  947.2  444.0  444.0   50.3  444.0
2018 172  6 21 0900  -16.0  946.4  444.0  444.0   53.0  444.0
2018 172  6 21 1200  -16.8  943.8  444.0  444.0   56.0  444.0
2018 172  6 21 1500  -16.6  943.7  444.0  444.0   58.0  444.0
2018 172  6 21 1800  -17.0  945.1  444.0  444.0   66.0  444.0
2018 172  6 21 2100  -17.1  945.4  444.0  444.0   68.8  444.0
2018 173  6 22 0000  -18.7  946.6  444.0  444.0   73.0  444.0
2018 173  6 22 0300  -17.6  947.9  444.0  444.0   59.4  444.0
2018 173  6 22 0600  -17.2  949.1  444.0  444.0   56.0  444.0
2018 173  6 22 0900  -16.4  949.4  444.0  444.0   53.5  444.0
2018 173  6 22 1200  -17.4  949.4  444.0  444.0   57.0  444.0
2018 173  6 22 1500  -15.9  948.4  444.0  444.0   56.0  444.0
2018 173  6 22 1800  -15.5  948.3  444.0  444.0   55.0  444.0
2018 173  6 22 2100  -15.5  947.6  444.0  444.0   61.1  444.0
2018 174  6 23 0000  -14.2  944.7  444.0  444.0   58.0  444.0
2018 174  6 23 0300  -14.6  942.8  444.0  444.0   58.0  444.0
2018 174  6 23 0600  -17.8  939.3  444.0  444.0   74.0  444.0
2018 174  6 23 0900  -17.5  936.7  444.0  444.0   78.0  444.0
2018 174  6 23 1200  -17.5  936.0  444.0  444.0   84.8  444.0
2018 174  6 23 1500  -15.7  931.7  444.0  444.0   88.0  444.0
2018 174  6 23 1800  -14.4  931.3  444.0  444.0   89.7  444.0
2018 174  6 23 2100  -14.6  929.5  444.0  444.0   90.0  444.0
2018 175  6 24 0000  -14.6  927.5  444.0  444.0   95.0  444.0
2018 175  6 24 0300  -14.3  925.4  444.0  444.0   91.0  444.0
2018 175  6 24 0600  -14.1  922.6  444.0  444.0   91.0  444.0
2018 175  6 24 0900  -13.3  917.7  444.0  444.0   92.0  444.0
2018 175  6 24 1200  -13.6  918.3  444.0  444.0   92.0  444.0
2018 175  6 24 1500  -13.6  921.5  444.0  444.0   92.0  444.0
2018 175  6 24 1800  -13.5  926.1  444.0  444.0   92.0  444.0
2018 175  6 24 2100  -12.3  928.3  444.0  444.0   93.0  444.0
2018 176  6 25 0000  -11.7  928.2  444.0  444.0   94.0  444.0
2018 176  6 25 0300  -11.1  931.2  444.0  444.0   95.0  444.0
2018 176  6 25 0600   -9.1  934.5  444.0  444.0   96.0  444.0
2018 176  6 25 0900   -9.5  935.8  444.0  444.0   96.0  444.0
2018 176  6 25 1200  -10.9  934.8  444.0  444.0   94.5  444.0
2018 176  6 25 1500  -10.0  936.3  444.0  444.0   96.0  444.0
2018 176  6 25 1800  -12.9  937.9  444.0  444.0   94.0  444.0
2018 176  6 25 2100  -13.6  939.1  444.0  444.0   93.0  444.0
2018 177  6 26 0000  -13.2  935.4  444.0  444.0   93.5  444.0
2018 177  6 26 0300  -14.0  939.7  444.0  444.0   93.0  444.0
2018 177  6 26 0600  -13.8  938.1  444.0  444.0   93.0  444.0
2018 177  6 26 0900  -12.1  939.1  444.0  444.0   94.2  444.0
2018 177  6 26 1200  -10.6  944.0  444.0  444.0   95.0  444.0
2018 177  6 26 1500  -14.1  942.9  444.0  444.0   92.9  444.0
2018 177  6 26 1800  -13.9  945.4  444.0  444.0   93.0  444.0
2018 177  6 26 2100  -12.3  945.4  444.0  444.0   95.0  444.0
2018 178  6 27 0000  -10.5  944.5  444.0  444.0   89.0  444.0
2018 178  6 27 0300  -11.6  943.8  444.0  444.0   72.8  444.0
2018 178  6 27 0600  -17.5  943.6  444.0  444.0   76.0  444.0
2018 178  6 27 0900  -16.6  944.5  444.0  444.0   71.3  444.0
2018 178  6 27 1200  -14.6  944.4  444.0  444.0   50.0  444.0
2018 178  6 27 1500  -15.2  945.4  444.0  444.0   57.0  444.0
2018 178  6 27 1800  -10.9  945.1  444.0  444.0   38.1  444.0
2018 178  6 27 2100  -13.0  945.8  444.0  444.0   49.6  444.0
2018 179  6 28 0000  -11.9  945.7  444.0  444.0   40.0  444.0
2018 179  6 28 0300  -12.6  945.4  444.0  444.0   37.0  444.0
2018 179  6 28 0600  -14.8  944.6  444.0  444.0   46.0  444.0
2018 179  6 28 0900  -15.9  944.6  444.0  444.0   62.0  444.0
2018 179  6 28 1200  -19.2  943.5  444.0  444.0   89.3  444.0
2018 179  6 28 1500  -21.0  942.7  444.0  444.0   85.0  444.0
2018 179  6 28 1800  -22.7  940.6  444.0  444.0   59.0  444.0
2018 179  6 28 2100  -22.4  939.4  444.0  444.0   84.0  444.0
2018 180  6 29 0000  -22.1  938.7  444.0  444.0   60.6  444.0
2018 180  6 29 0300  -22.2  938.7  444.0  444.0   54.0  444.0
2018 180  6 29 0600  -21.2  938.9  444.0  444.0   52.0  444.0
2018 180  6 29 0900  -18.7  938.9  444.0  444.0   49.0  444.0
2018 180  6 29 1200  -23.4  939.8  444.0  444.0   54.0  444.0
2018 180  6 29 1500  -22.4  940.9  444.0  444.0   39.0  444.0
2018 180  6 29 1800  -22.6  942.3  444.0  444.0   33.4  444.0
2018 180  6 29 2100  -22.7  943.8  444.0  444.0   33.0  444.0
2018 181  6 30 0000  -22.9  944.8  444.0  444.0   31.0  444.0
2018 181  6 30 0300  -22.6  945.4  444.0  444.0   33.0  444.0
2018 181  6 30 0600  -22.3  945.6  444.0  444.0   28.8  444.0
2018 181  6 30 0900  -22.6  946.3  444.0  444.0   31.0  444.0
2018 181  6 30 1200  -22.6  946.0  444.0  444.0   30.0  444.0
2018 181  6 30 1500  -23.8  945.0  444.0  444.0   35.0  444.0
2018 181  6 30 1800  -22.1  944.1  444.0  444.0   36.0  444.0
2018 181  6 30 2100  -24.9  943.8  444.0  444.0   52.4  444.0
