Year: 2018  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2018 207  7 26 1500  -13.2  981.0    3.4  177.0  444.0  444.0
2018 207  7 26 1800  -17.9  983.6    5.1  165.0  444.0  444.0
2018 207  7 26 2100  -15.9  983.8    2.7  186.0  444.0  444.0
2018 208  7 27 0000  -14.8  983.3    1.7  167.0  444.0  444.0
2018 208  7 27 0300  -13.8  982.1    0.0  194.0  444.0  444.0
2018 208  7 27 0600  -17.8  980.9    3.7  162.0  444.0  444.0
2018 208  7 27 0900  -17.4  980.2    3.4  131.0  444.0  444.0
2018 208  7 27 1200  -23.8  979.5    1.0  158.0  444.0  444.0
2018 208  7 27 1500  -15.5  977.3    2.0  294.0  444.0  444.0
2018 208  7 27 1800  -16.0  974.7    0.0  197.0  444.0  444.0
2018 208  7 27 2100  -17.6  974.4    0.7  264.0  444.0  444.0
2018 209  7 28 0000  -20.1  975.2    0.0  156.0  444.0  444.0
2018 209  7 28 0300  -18.2  975.2    0.0    0.0  444.0  444.0
2018 209  7 28 0600  -20.1  975.5    2.5  280.0  444.0  444.0
2018 209  7 28 0900  -19.8  976.4    0.0  304.0  444.0  444.0
2018 209  7 28 1200  -17.8  977.9    1.2  170.0  444.0  444.0
2018 209  7 28 1500  -23.1  980.3    2.2  135.0  444.0  444.0
2018 209  7 28 1800  -24.5  983.0    3.2  141.0  444.0  444.0
2018 209  7 28 2100  -20.0  985.6    3.7  127.0  444.0  444.0
2018 210  7 29 0000  -17.9  987.0    3.2  150.0  444.0  444.0
2018 210  7 29 0300  -20.0  988.6    3.7  135.0  444.0  444.0
2018 210  7 29 0600  -22.4  989.5    3.2  145.0  444.0  444.0
2018 210  7 29 0900  -25.0  991.1    5.9  149.0  444.0  444.0
2018 210  7 29 1200  -24.8  992.1    3.9  138.0  444.0  444.0
2018 210  7 29 1500  -27.2  991.6    0.0  142.0  444.0  444.0
2018 210  7 29 1800  -29.1  991.5    0.0  316.0  444.0  444.0
2018 210  7 29 2100  -28.5  991.6    0.0  283.0  444.0  444.0
2018 211  7 30 0000  -26.2  991.7    0.5  228.0  444.0  444.0
2018 211  7 30 0300  -27.0  991.8    0.0  305.0  444.0  444.0
2018 211  7 30 0600  -26.4  991.2    0.0  280.0  444.0  444.0
2018 211  7 30 0900  -25.4  991.1    1.0  207.0  444.0  444.0
2018 211  7 30 1200  -26.8  991.0    0.0    6.0  444.0  444.0
2018 211  7 30 1500  -25.5  990.8    0.0  255.0  444.0  444.0
2018 211  7 30 1800  -29.0  991.4    1.2  146.0  444.0  444.0
2018 211  7 30 2100  -28.4  993.0    7.1  138.0  444.0  444.0
2018 212  7 31 0000  -25.8  994.5    3.2  166.0  444.0  444.0
2018 212  7 31 0300  -26.1  995.9    1.2  134.0  444.0  444.0
2018 212  7 31 0600  -29.0  997.0    0.2  287.0  444.0  444.0
2018 212  7 31 0900  -27.1  998.3    0.7  233.0  444.0  444.0
2018 212  7 31 1200  -28.8  999.1    1.0  217.0  444.0  444.0
2018 212  7 31 1500  -28.0  999.0    0.0  235.0  444.0  444.0
2018 212  7 31 1800  -28.8  998.6    0.7  312.0  444.0  444.0
2018 212  7 31 2100  -29.4  998.2    1.5  340.0  444.0  444.0
