Year: 2018  Month: 12  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2018 351 12 17 0600    3.4  972.8   16.5  186.6   26.9  444.0
2018 351 12 17 0900    1.8  972.5    3.0   69.2   34.0  444.0
2018 351 12 17 1200   -0.9  973.6    9.6   51.1   64.0  444.0
2018 351 12 17 1500    1.0  972.8   12.5   78.9   40.8  444.0
2018 351 12 17 1800    1.7  975.2    8.4   70.6   33.4  444.0
2018 351 12 17 2100    2.1  978.7    6.4  221.1   28.1  444.0
2018 352 12 18 0000    1.7  976.6   21.3  199.0   29.8  444.0
2018 352 12 18 0300    3.9  975.1    6.4  169.0   25.0  444.0
2018 352 12 18 0600    5.2  976.4   15.0  189.7   16.9  444.0
2018 352 12 18 0900    3.1  976.2   15.5  206.1   20.6  444.0
2018 352 12 18 1200    2.6  979.6   16.0  199.8   23.8  444.0
2018 352 12 18 1500    0.9  978.9   23.6  187.2   32.8  444.0
2018 352 12 18 1800   -0.7  982.3    9.0  196.5   48.0  444.0
2018 352 12 18 2100   -1.6  986.5    8.1   19.0   68.4  444.0
2018 353 12 19 0000   -1.6  990.6    1.9  303.8   71.3  444.0
2018 353 12 19 0300   -0.0  991.2    4.9   36.5   56.1  444.0
2018 353 12 19 0600    0.2  991.7    6.6   43.9   52.8  444.0
2018 353 12 19 0900   -1.2  991.5    3.9   28.6   74.5  444.0
2018 353 12 19 1200   -0.7  991.1    2.4  217.9   76.0  444.0
2018 353 12 19 1500   -2.1  990.1    3.3  240.0   76.8  444.0
2018 353 12 19 1800   -1.2  990.0    1.7    6.6   64.5  444.0
2018 353 12 19 2100   -0.6  989.9    2.1    9.4   74.5  444.0
2018 354 12 20 0000    0.1  989.7    1.2  268.9   68.0  444.0
2018 354 12 20 0300    0.8  988.3    3.0  233.2   69.7  444.0
2018 354 12 20 0600    1.3  986.8    2.3  333.1   58.0  444.0
2018 354 12 20 0900    1.1  984.1   10.4  219.0   53.7  444.0
2018 354 12 20 1200    1.3  982.4    9.0  230.1   46.1  444.0
2018 354 12 20 1500    2.8  979.2   14.7  197.9   57.2  444.0
2018 354 12 20 1800    1.3  975.7   21.0  190.4   71.5  444.0
2018 354 12 20 2100    0.8  975.1   23.1  197.5   71.3  444.0
2018 355 12 21 0000    3.7  973.4   27.8  199.2   27.7  444.0
2018 355 12 21 0300    0.9  977.5   16.1  199.5   56.2  444.0
2018 355 12 21 0600   -0.6  982.2    7.3  185.1   59.4  444.0
2018 355 12 21 0900   -1.0  986.1    6.2   62.2   56.7  444.0
2018 355 12 21 1200   -0.8  987.5    5.2   53.6   49.8  444.0
2018 355 12 21 1500   -3.0  986.9    9.1   55.7   70.4  444.0
2018 355 12 21 1800   -2.2  987.2    4.7   65.3   74.3  444.0
2018 355 12 21 2100   -0.0  985.3    5.1   37.2   47.5  444.0
2018 356 12 22 0000    1.5  984.7    5.2   29.5   41.0  444.0
2018 356 12 22 0300    0.9  984.4    3.9   14.9   67.0  444.0
2018 356 12 22 0600   -1.7  984.9    7.1   30.6   70.9  444.0
2018 356 12 22 0900   -2.9  985.2    5.7   36.8   81.3  444.0
2018 356 12 22 1200   -3.4  985.4    3.1   23.6   84.1  444.0
2018 356 12 22 1500   -3.4  985.0    4.8   34.5   84.5  444.0
2018 356 12 22 1800   -4.2  985.8    6.5   38.5   86.8  444.0
2018 356 12 22 2100   -3.0  987.7    0.8  308.1   77.3  444.0
2018 357 12 23 0000   -3.0  986.8    5.6   23.6   81.7  444.0
2018 357 12 23 0300   -1.5  985.7    1.3  323.7   69.6  444.0
2018 357 12 23 0600   -0.6  984.3    1.8  330.4   66.3  444.0
2018 357 12 23 0900   -1.0  983.0    7.4  227.4   73.0  444.0
2018 357 12 23 1200    0.1  979.8   11.4  210.5   55.4  444.0
2018 357 12 23 1500    1.5  975.1   19.1  204.7   34.3  444.0
2018 357 12 23 1800   -1.0  980.4    3.8  268.6   61.9  444.0
2018 357 12 23 2100   -0.9  981.2    3.6  223.5   54.7  444.0
2018 358 12 24 0000   -1.0  980.6    6.1   45.6   53.4  444.0
2018 358 12 24 0300   -0.7  979.8    6.3   47.8   47.1  444.0
2018 358 12 24 0600   -1.7  979.7    6.1   48.2   62.5  444.0
2018 358 12 24 0900   -2.0  979.0    3.0   58.5   74.8  444.0
2018 358 12 24 1200   -1.6  978.0    2.7   83.4   64.2  444.0
2018 358 12 24 1500   -2.7  978.1    7.5   42.8   72.6  444.0
2018 358 12 24 1800   -2.5  978.4    1.9   32.9   79.1  444.0
2018 358 12 24 2100   -1.2  977.2    4.6   39.2   65.5  444.0
2018 359 12 25 0000    0.9  977.2    1.1  323.9   38.0  444.0
2018 359 12 25 0300    2.6  974.3   15.4  199.4   28.3  444.0
2018 359 12 25 0600    0.6  973.4   20.3  207.9   53.5  444.0
2018 359 12 25 0900   -0.4  975.2    6.8  172.8   49.5  444.0
2018 359 12 25 1200   -1.5  974.8    1.8    5.5   55.0  444.0
2018 359 12 25 1500   -2.1  974.2    5.0   39.5   66.3  444.0
2018 359 12 25 1800   -1.9  974.6    5.0   17.7   73.0  444.0
2018 359 12 25 2100   -0.7  973.4    2.5   77.8   61.6  444.0
2018 360 12 26 0000   -0.8  974.0    3.8  158.2   64.0  444.0
2018 360 12 26 0300   -0.3  972.4    9.4   49.4   56.0  444.0
2018 360 12 26 0600   -2.0  977.1    7.1   37.0   77.2  444.0
2018 360 12 26 0900   -2.3  977.1    6.6   54.1   78.5  444.0
2018 360 12 26 1200   -2.1  977.2    4.5   67.2   75.6  444.0
2018 360 12 26 1500   -0.6  974.7   19.5  198.8   76.6  444.0
2018 360 12 26 1800    0.0  976.9   19.8  200.7   70.8  444.0
2018 360 12 26 2100   -0.8  977.3   18.9  201.1   74.3  444.0
2018 361 12 27 0000   -1.8  976.9   19.4  207.6   74.3  444.0
2018 361 12 27 0300    2.2  979.7    0.1  191.7   44.7  444.0
2018 361 12 27 0600   -0.0  981.5    6.4   43.3   70.9  444.0
2018 361 12 27 0900   -0.1  983.2    4.1   43.3   59.9  444.0
2018 361 12 27 1200   -2.6  985.0    9.7   47.9   76.8  444.0
2018 361 12 27 1500   -2.7  986.3    2.6   14.9   82.2  444.0
2018 361 12 27 1800   -3.5  986.8    2.4   10.4   88.8  444.0
2018 361 12 27 2100   -2.3  986.1    6.2  210.8   88.7  444.0
2018 362 12 28 0000   -2.3  985.7    3.0  244.1   75.5  444.0
2018 362 12 28 0300   -1.2  985.2    1.6  302.4   70.3  444.0
2018 362 12 28 0600   -2.0  985.4    4.5   17.1   74.8  444.0
2018 362 12 28 0900   -2.5  984.9    5.9   33.1   73.9  444.0
2018 362 12 28 1200   -2.8  985.3    3.1   46.9   71.9  444.0
2018 362 12 28 1500   -3.5  984.6    1.9   43.2   82.1  444.0
2018 362 12 28 1800   -3.6  984.4    2.7   44.6   90.9  444.0
2018 362 12 28 2100   -3.6  984.1    2.2   23.3   89.5  444.0
2018 363 12 29 0000   -3.8  984.1    1.6   34.3   89.4  444.0
2018 363 12 29 0300   -3.5  983.3    3.4   55.2   86.9  444.0
2018 363 12 29 0600   -2.8  983.2    4.7   22.3   82.0  444.0
2018 363 12 29 0900   -3.3  983.2    4.1   49.2   78.7  444.0
2018 363 12 29 1200   -3.4  983.6    2.4   79.5   72.0  444.0
2018 363 12 29 1500   -3.4  983.2    3.5   53.3   62.6  444.0
2018 363 12 29 1800   -2.9  983.8    1.7   41.3   60.9  444.0
2018 363 12 29 2100   -2.5  983.9    1.5  351.3   59.7  444.0
2018 364 12 30 0000   -2.7  984.2    2.6  265.5   73.9  444.0
2018 364 12 30 0300   -2.3  984.1    2.8  259.9   70.5  444.0
2018 364 12 30 0600   -2.2  984.3    1.6  252.5   71.1  444.0
2018 364 12 30 0900   -2.0  984.3    0.9  328.3   70.2  444.0
2018 364 12 30 1200   -2.2  984.6    0.9  298.2   71.5  444.0
2018 364 12 30 1500   -3.5  984.5    2.9  129.6   67.8  444.0
2018 364 12 30 1800   -2.8  984.5    2.8  135.0   65.2  444.0
2018 364 12 30 2100   -1.3  984.4    2.7  226.3   70.6  444.0
2018 365 12 31 0000   -0.8  984.6    1.7  255.4   68.5  444.0
2018 365 12 31 0300   -0.1  984.2    2.1  315.6   66.2  444.0
2018 365 12 31 0600   -0.7  984.1    2.0  318.9   57.9  444.0
2018 365 12 31 0900   -0.5  983.9    1.1  276.1   59.0  444.0
2018 365 12 31 1200   -0.9  983.5    7.3  219.5   73.6  444.0
2018 365 12 31 1500   -1.2  983.7    2.2  210.2   75.0  444.0
2018 365 12 31 1800   -0.9  983.4    2.6  232.5   78.8  444.0
2018 365 12 31 2100   -0.2  983.3    2.9  216.4   72.3  444.0
