Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018  14  1 14 2100   -7.9  982.3    1.5   90.3  100.0   -1.4
2018  15  1 15 0000  444.0  981.3    0.9   13.2  100.0   -0.0
2018  15  1 15 0300   -4.1  979.9    2.9   68.6   99.9   -1.1
2018  15  1 15 0600  444.0  978.1    1.0   56.7   94.0   -1.8
2018  15  1 15 0900   -5.5  977.1    1.8   51.9   93.8   -0.2
2018  15  1 15 1200   -6.2  975.2    1.1   21.2   99.9    4.7
2018  15  1 15 1500   -9.3  974.5    1.4  290.9   99.9    0.6
2018  15  1 15 1800   -5.0  973.7    2.4   35.8  100.0   -0.1
2018  15  1 15 2100   -4.4  973.3    1.2  348.3   87.8    0.0
2018  16  1 16 0000  444.0  971.9    0.4  233.1   69.1   -0.1
2018  16  1 16 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 0600   -7.3  971.1    1.1  119.6   99.9   -0.8
2018  16  1 16 0900   -7.1  971.1    0.6   98.2  100.1   -1.8
2018  16  1 16 1200   -8.1  971.4    2.5  111.6  100.0   -0.5
2018  16  1 16 1500   -8.9  971.3    3.3  133.0  100.0   -0.2
2018  16  1 16 1800   -8.8  972.7    3.6  134.9  100.0   -0.3
2018  16  1 16 2100   -8.2  973.8    3.1   99.3   94.7   -1.7
2018  17  1 17 0000   -9.4  975.2    5.6  117.6   88.8   -0.9
2018  17  1 17 0300   -8.5  975.3    3.4   64.2   82.8   -0.9
2018  17  1 17 0600   -7.9  975.7    1.3  140.6   82.9   -0.3
2018  17  1 17 0900   -6.6  977.0    1.4   44.1   69.7   -0.4
2018  17  1 17 1200  -10.5  976.4    2.6   53.6   90.8   -0.1
2018  17  1 17 1500   -8.4  976.0    2.6   99.0   99.2   -0.7
2018  17  1 17 1800   -8.7  975.8    1.5   63.1   99.5   -0.5
2018  17  1 17 2100   -8.7  975.4    1.1  293.1   92.3    0.3
2018  18  1 18 0000   -6.7  974.5    0.3  185.4   73.0    0.6
2018  18  1 18 0300   -4.5  974.3    3.2  223.0   80.1   -0.1
2018  18  1 18 0600   -2.8  973.1    3.4  340.1   75.4    0.2
2018  18  1 18 0900   -1.8  972.4    2.9  300.7   63.0    0.6
2018  18  1 18 1200   -4.2  972.5    3.3  278.2   73.6    0.5
2018  18  1 18 1500   -6.8  972.5    0.8  118.8   98.1    0.4
2018  18  1 18 1800   -4.1  973.1    4.6  337.6   89.8    0.2
2018  18  1 18 2100   -5.7  974.4    4.7  255.4   85.2    0.0
